taxonKey	year	classKey	obs	cobs	ncells	c_ncells	canonicalName	fit	ucl	lcl	em1	em2	em	em_status	growth	method
1003567	2014	139	1	0	1	0	Pectinatella magnifica									correct_baseline
1003567	2015	139	0	0	0	0	Pectinatella magnifica									correct_baseline
1003567	2016	139	0	0	0	0	Pectinatella magnifica									correct_baseline
1003567	2017	139	0	0	0	0	Pectinatella magnifica									correct_baseline
1003567	2018	139	3	0	2	0	Pectinatella magnifica									correct_baseline
1003567	2019	139	0	0	0	0	Pectinatella magnifica									correct_baseline
1003567	2020	139	0	0	0	0	Pectinatella magnifica									correct_baseline
1003567	2021	139	0	0	0	0	Pectinatella magnifica									correct_baseline
1003567	2022	139	0	0	0	0	Pectinatella magnifica									correct_baseline
1008955	2009	252	1	0	1	0	Fenestrulina delicia									correct_baseline
1008955	2010	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2011	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2012	252	1	0	1	0	Fenestrulina delicia									correct_baseline
1008955	2013	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2014	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2015	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2016	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2017	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2018	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2019	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2020	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2021	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1008955	2022	252	0	0	0	0	Fenestrulina delicia									correct_baseline
1014565	2015	361	2	0	1	0	Amphitomeus attemsi									correct_baseline
1014565	2016	361	0	0	0	0	Amphitomeus attemsi									correct_baseline
1014565	2017	361	1	1	1	1	Amphitomeus attemsi									correct_baseline
1014565	2018	361	0	0	0	0	Amphitomeus attemsi									correct_baseline
1014565	2019	361	0	0	0	0	Amphitomeus attemsi									correct_baseline
1014565	2020	361	0	0	0	0	Amphitomeus attemsi									correct_baseline
1014565	2021	361	0	0	0	0	Amphitomeus attemsi									correct_baseline
1014565	2022	361	0	0	0	0	Amphitomeus attemsi									correct_baseline
1017419	2009	361	1	0	1	0	Oxidus gracilis									correct_baseline
1017419	2010	361	0	0	0	0	Oxidus gracilis									correct_baseline
1017419	2011	361	0	0	0	0	Oxidus gracilis									correct_baseline
1017419	2012	361	0	0	0	0	Oxidus gracilis									correct_baseline
1017419	2013	361	0	0	0	0	Oxidus gracilis									correct_baseline
1017419	2014	361	0	0	0	0	Oxidus gracilis									correct_baseline
1017419	2015	361	0	0	0	0	Oxidus gracilis									correct_baseline
1017419	2016	361	0	0	0	0	Oxidus gracilis									correct_baseline
1017419	2017	361	2	1	2	1	Oxidus gracilis									correct_baseline
1017419	2018	361	2	0	2	0	Oxidus gracilis									correct_baseline
1017419	2019	361	3	0	3	0	Oxidus gracilis									correct_baseline
1017419	2020	361	9	0	7	0	Oxidus gracilis									correct_baseline
1017419	2021	361	22	0	22	0	Oxidus gracilis									correct_baseline
1017419	2022	361	29	0	27	0	Oxidus gracilis									correct_baseline
1031394	2010	216	1	10	1	1	Ectopsocus petersi									correct_baseline
1031394	2011	216	1	20	1	1	Ectopsocus petersi									correct_baseline
1031394	2012	216	9	161	9	9	Ectopsocus petersi									correct_baseline
1031394	2013	216	9	118	9	9	Ectopsocus petersi									correct_baseline
1031394	2014	216	10	183	10	10	Ectopsocus petersi									correct_baseline
1031394	2015	216	12	176	12	11	Ectopsocus petersi									correct_baseline
1031394	2016	216	13	258	13	13	Ectopsocus petersi									correct_baseline
1031394	2017	216	13	323	13	13	Ectopsocus petersi									correct_baseline
1031394	2018	216	29	752	29	29	Ectopsocus petersi									correct_baseline
1031394	2019	216	0	0	0	0	Ectopsocus petersi									correct_baseline
1031394	2020	216	1	327	1	1	Ectopsocus petersi									correct_baseline
1031394	2021	216	1	16	1	1	Ectopsocus petersi									correct_baseline
1031394	2022	216	1	78	1	1	Ectopsocus petersi									correct_baseline
1031400	2011	216	2	24	2	2	Ectopsocus briggsi									correct_baseline
1031400	2012	216	2	54	2	2	Ectopsocus briggsi									correct_baseline
1031400	2013	216	2	28	2	2	Ectopsocus briggsi									correct_baseline
1031400	2014	216	12	217	12	12	Ectopsocus briggsi									correct_baseline
1031400	2015	216	15	211	14	13	Ectopsocus briggsi									correct_baseline
1031400	2016	216	19	379	19	19	Ectopsocus briggsi									correct_baseline
1031400	2017	216	4	83	4	4	Ectopsocus briggsi									correct_baseline
1031400	2018	216	12	266	12	12	Ectopsocus briggsi									correct_baseline
1031400	2019	216	0	0	0	0	Ectopsocus briggsi									correct_baseline
1031400	2020	216	0	0	0	0	Ectopsocus briggsi									correct_baseline
1031400	2021	216	0	0	0	0	Ectopsocus briggsi									correct_baseline
1031400	2022	216	0	0	0	0	Ectopsocus briggsi									correct_baseline
1031684	2009	216	1	0	1	0	Lepinotus patruelis									correct_baseline
1031684	2010	216	3	40	3	3	Lepinotus patruelis									correct_baseline
1031684	2011	216	0	0	0	0	Lepinotus patruelis									correct_baseline
1031684	2012	216	3	30	3	3	Lepinotus patruelis									correct_baseline
1031684	2013	216	0	0	0	0	Lepinotus patruelis									correct_baseline
1031684	2014	216	2	86	2	2	Lepinotus patruelis									correct_baseline
1031684	2015	216	4	67	4	4	Lepinotus patruelis									correct_baseline
1031684	2016	216	1	7	1	1	Lepinotus patruelis									correct_baseline
1031684	2017	216	0	0	0	0	Lepinotus patruelis									correct_baseline
1031684	2018	216	4	128	4	4	Lepinotus patruelis									correct_baseline
1031684	2019	216	6	44	6	6	Lepinotus patruelis									correct_baseline
1031684	2020	216	7	165	6	6	Lepinotus patruelis									correct_baseline
1031684	2021	216	10	77	9	9	Lepinotus patruelis									correct_baseline
1031684	2022	216	13	239	12	11	Lepinotus patruelis									correct_baseline
1031737	2018	216	2	76	2	2	Psyllipsocus ramburii									correct_baseline
1031737	2019	216	0	0	0	0	Psyllipsocus ramburii									correct_baseline
1031737	2020	216	0	0	0	0	Psyllipsocus ramburii									correct_baseline
1031737	2021	216	0	0	0	0	Psyllipsocus ramburii									correct_baseline
1031737	2022	216	0	0	0	0	Psyllipsocus ramburii									correct_baseline
1031742	2011	216	2	20	1	1	Dorypteryx domestica									correct_baseline
1031742	2012	216	2	20	2	2	Dorypteryx domestica									correct_baseline
1031742	2013	216	0	0	0	0	Dorypteryx domestica									correct_baseline
1031742	2014	216	4	86	4	4	Dorypteryx domestica									correct_baseline
1031742	2015	216	2	66	2	2	Dorypteryx domestica									correct_baseline
1031742	2016	216	3	59	3	3	Dorypteryx domestica									correct_baseline
1031742	2017	216	0	0	0	0	Dorypteryx domestica									correct_baseline
1031742	2018	216	3	68	3	3	Dorypteryx domestica									correct_baseline
1031742	2019	216	2	21	2	2	Dorypteryx domestica									correct_baseline
1031742	2020	216	1	13	1	1	Dorypteryx domestica									correct_baseline
